Customer_query,Category,Intent,Priority
I need information about general information for your AI HR software (reference 5381).,General Inquiry,General Information,Medium
I'm trying to find out comparing my subscription with another option?,Product Inquiry,Product Request,Low
This is urgent—can you help with what I'd pay for the software.,Pricing,Pricing Information,High
Can you tell me what I should know about my current plan?,Product Inquiry,Product Information,Low
I need information about general information for the premium plan (reference 5385).,General Inquiry,General Information,Medium
I need information about service request for the latest version (reference 5386).,Service Inquiry,Service Request,Low
This is urgent—can you help with what I'd pay for the business plan.,Pricing,Pricing Information,High
I'd like to know the current pricing for our company account?,Pricing,Pricing Information,Low
I urgently need help with adding a feature to the business plan.,Product Inquiry,Product Request,High
I need information about general information for the latest version (reference 5390).,General Inquiry,General Information,Low
I'm having trouble with logging into our company account.,Technical Support,Technical Issue,Medium
I'm running into an issue with the current pricing for the customer portal.,Pricing,Pricing Information,Medium
Just wanted to check the price of my recent order?,Pricing,Pricing Information,Low
I need some help with the business plan crashing.,Technical Support,Technical Issue,Medium
I'd like some information about my subscription not connecting.,Technical Support,Technical Issue,Low
I need information about service request for the premium plan (reference 5396).,Service Inquiry,Service Request,High
I need information about service complaint for my recent order (reference 5397).,Complaint,Service Complaint,High
I need help with this as soon as possible: integrating the business plan with another tool.,Product Inquiry,Product Request,High
Could someone help me with uploading a file to the latest version.,Technical Support,Technical Issue,Medium
I need information about service complaint for the software (reference 5400).,Complaint,Service Complaint,Medium
I need information about service complaint for my recent order (reference 5401).,Complaint,Service Complaint,Medium
I need information about service complaint for our company account (reference 5402).,Complaint,Service Complaint,Low
Could someone help me with what my subscription includes.,Product Inquiry,Product Information,Medium
Just wanted to check uploading a file to your AI HR software?,Technical Support,Technical Issue,Low
I need information about service complaint for the mobile app (reference 5405).,Complaint,Service Complaint,Low
This is urgent—can you help with the premium plan running very slowly.,Technical Support,Technical Issue,High
I need information about general information for my recent order (reference 5407).,General Inquiry,General Information,Medium
I need information about service complaint for the software (reference 5408).,Complaint,Service Complaint,Medium
I need information about general information for my current plan (reference 5409).,General Inquiry,General Information,High
I was wondering what I'd pay for your service?,Pricing,Pricing Information,Low
I need information about service complaint for my recent order (reference 5411).,Complaint,Service Complaint,Low
I need information about service request for the business plan (reference 5412).,Service Inquiry,Service Request,Medium
I was wondering customizing your AI HR software?,Product Inquiry,Product Request,Low
I need information about service request for the latest version (reference 5414).,Service Inquiry,Service Request,Low
I need information about account request for my account (reference 5415).,General Inquiry,Account Request,Low
I was wondering more information about my current plan?,Product Inquiry,Product Information,Low
Please help me resolve this urgently: your AI HR software running very slowly.,Technical Support,Technical Issue,High
I need information about general information for the latest version (reference 5418).,General Inquiry,General Information,Medium
I'm having trouble with the price of the premium plan.,Pricing,Pricing Information,Medium
I need information about service request for the latest version (reference 5420).,Service Inquiry,Service Request,Medium
I'm having a problem with what my current plan includes.,Product Inquiry,Product Information,Medium
I need information about service complaint for the latest version (reference 5422).,Complaint,Service Complaint,Low
Could you let me know comparing the mobile app with another option?,Product Inquiry,Product Request,Low
I can't seem to customizing the premium plan.,Product Inquiry,Product Request,Medium
Could someone help me with escalating my complaint.,Complaint,Escalation Request,Medium
I need information about service request for your service (reference 5426).,Service Inquiry,Service Request,Medium
Please help me resolve this urgently: details on my subscription.,Product Inquiry,Product Information,High
I urgently need help with what I'd pay for the software.,Pricing,Pricing Information,High
Can you tell me what I'd pay for our company account?,Pricing,Pricing Information,Low
I need information about service request for my recent order (reference 5430).,Service Inquiry,Service Request,Medium
Something isn't working with getting help with the premium plan.,Technical Support,Support Request,Medium
I need information about service complaint for the business plan (reference 5432).,Complaint,Service Complaint,High
Something isn't working with adding a feature to your service.,Product Inquiry,Product Request,Medium
I need information about service request for the latest version (reference 5434).,Service Inquiry,Service Request,Low
I need information about general information for the business plan (reference 5435).,General Inquiry,General Information,Medium
I need information about general information for my recent order (reference 5436).,General Inquiry,General Information,High
I need information about service complaint for my subscription (reference 5437).,Complaint,Service Complaint,Medium
Please help me resolve this urgently: how the customer portal works.,Product Inquiry,Product Information,High
I'm stuck with getting this unresolved issue escalated.,Complaint,Escalation Request,Medium
I urgently need help with the monthly cost of our company account.,Pricing,Pricing Information,High
I need information about service request for my account (reference 5441).,Service Inquiry,Service Request,Low
I need information about general information for my current plan (reference 5442).,General Inquiry,General Information,Medium
I need information about service complaint for the customer portal (reference 5443).,Complaint,Service Complaint,Medium
Something isn't working with what your service includes.,Product Inquiry,Product Information,Medium
Do you know how much the premium plan costs?,Pricing,Pricing Information,Low
I need information about general information for my subscription (reference 5446).,General Inquiry,General Information,High
Could someone help me with the price of the premium plan.,Pricing,Pricing Information,Medium
I'd like some information about integrating the software with another tool.,Product Inquiry,Product Request,Low
I need information about general information for my account (reference 5449).,General Inquiry,General Information,Medium
I need information about service request for the business plan (reference 5450).,Service Inquiry,Service Request,Medium
I'm running into an issue with the mobile app crashing.,Technical Support,Technical Issue,Medium
I'd like some information about adding a feature to the business plan.,Product Inquiry,Product Request,Low
Please help me resolve this urgently: more information about my account.,Product Inquiry,Product Information,High
I need information about general information for my recent order (reference 5454).,General Inquiry,General Information,Medium
I need information about general information for my account (reference 5455).,General Inquiry,General Information,Low
I need information about general information for the HR platform (reference 5456).,General Inquiry,General Information,Medium
Just checking—the monthly cost of the latest version?,Pricing,Pricing Information,Low
Something isn't working with notifications from my subscription not working.,Technical Support,Technical Issue,Medium
I need information about service request for our company account (reference 5459).,Service Inquiry,Service Request,High
I need information about service complaint for the latest version (reference 5460).,Complaint,Service Complaint,Low
Can someone look into this right away: what I should know about the mobile app.,Product Inquiry,Product Information,High
I need information about service information for our company account (reference 5462).,Service Inquiry,Service Information,Low
I'd like some information about adding a feature to the HR platform.,Product Inquiry,Product Request,Low
I need some help with the mobile app not connecting.,Technical Support,Technical Issue,Medium
I'd like to know uploading a file to the HR platform?,Technical Support,Technical Issue,Low
I need information about general information for my recent order (reference 5466).,General Inquiry,General Information,High
I need information about service complaint for my recent order (reference 5467).,Complaint,Service Complaint,Medium
I can't seem to what I'd pay for your service.,Pricing,Pricing Information,Medium
I'm stuck with what I'd pay for your service.,Pricing,Pricing Information,Medium
Please help me resolve this urgently: the current pricing for my current plan.,Pricing,Pricing Information,High
Just wanted to check the monthly cost of our company account?,Pricing,Pricing Information,Low
I need information about service information for the customer portal (reference 5472).,Service Inquiry,Service Information,Low
I need information about service complaint for the business plan (reference 5473).,Complaint,Service Complaint,Medium
I need information about service request for the business plan (reference 5474).,Service Inquiry,Service Request,Low
I'm trying to find out how the HR platform works?,Product Inquiry,Product Information,Low
I need information about general information for your AI HR software (reference 5476).,General Inquiry,General Information,Low
Something isn't working with what I'd pay for the mobile app.,Pricing,Pricing Information,Medium
I need information about service request for my current plan (reference 5478).,Service Inquiry,Service Request,High
I'd like to know the price of my subscription?,Pricing,Pricing Information,Low
I need information about service request for my account (reference 5480).,Service Inquiry,Service Request,Low
I need information about service information for my subscription (reference 5481).,Service Inquiry,Service Information,High
I'm having trouble with how much my account costs.,Pricing,Pricing Information,Medium
Could you let me know integrating my account with another tool?,Product Inquiry,Product Request,Low
Just wanted to check my account not connecting?,Technical Support,Technical Issue,Low
I need information about service complaint for my recent order (reference 5485).,Complaint,Service Complaint,Medium
Something isn't working with what I'd pay for our company account.,Pricing,Pricing Information,Medium
Can you tell me logging into the business plan?,Technical Support,Technical Issue,Low
Can you tell me adding a feature to my recent order?,Product Inquiry,Product Request,Low
I need information about general information for my subscription (reference 5489).,General Inquiry,General Information,Low
I'd like some information about what I should know about the HR platform.,Product Inquiry,Product Information,Low
I can't seem to what my account includes.,Product Inquiry,Product Information,Medium
I need help with this as soon as possible: what I should know about the business plan.,Product Inquiry,Product Information,High
I need information about service request for our company account (reference 5493).,Service Inquiry,Service Request,Low
I need information about account request for the HR platform (reference 5494).,General Inquiry,Account Request,Low
I need information about service complaint for my current plan (reference 5495).,Complaint,Service Complaint,Medium
I'd like to know the price of the customer portal?,Pricing,Pricing Information,Low
Just checking—more information about my account?,Product Inquiry,Product Information,Low
I need information about general information for your AI HR software (reference 5498).,General Inquiry,General Information,Medium
I'm stuck with how much my current plan costs.,Pricing,Pricing Information,Medium
I need information about service complaint for the business plan (reference 5500).,Complaint,Service Complaint,Medium
I need information about general information for my account (reference 5501).,General Inquiry,General Information,High
I need information about general information for the software (reference 5502).,General Inquiry,General Information,Low
I need information about general information for your service (reference 5503).,General Inquiry,General Information,High
I'd like to know integrating the business plan with another tool?,Product Inquiry,Product Request,Low
I need information about general information for the HR platform (reference 5505).,General Inquiry,General Information,High
I need information about general information for the HR platform (reference 5506).,General Inquiry,General Information,Low
I'd like some information about uploading a file to the business plan.,Technical Support,Technical Issue,Low
Just checking—an error in the latest version?,Technical Support,Technical Issue,Low
I need information about service complaint for the customer portal (reference 5509).,Complaint,Service Complaint,Medium
I need information about service complaint for the mobile app (reference 5510).,Complaint,Service Complaint,Medium
I need information about general information for my current plan (reference 5511).,General Inquiry,General Information,Low
I'm running into an issue with what the premium plan includes.,Product Inquiry,Product Information,Medium
I was wondering the monthly cost of your service?,Pricing,Pricing Information,Low
I need information about general information for my account (reference 5514).,General Inquiry,General Information,Low
I'm having trouble with uploading a file to my subscription.,Technical Support,Technical Issue,Medium
I need information about general information for our company account (reference 5516).,General Inquiry,General Information,Low
I need information about service request for the business plan (reference 5517).,Service Inquiry,Service Request,Low
I need information about general information for the software (reference 5518).,General Inquiry,General Information,Low
I need information about service request for my current plan (reference 5519).,Service Inquiry,Service Request,Low
Just checking—what I should know about the HR platform?,Product Inquiry,Product Information,Low
I can't seem to what I'd pay for the premium plan.,Pricing,Pricing Information,Medium
I urgently need help with the price of the premium plan.,Pricing,Pricing Information,High
I need information about service request for your service (reference 5523).,Service Inquiry,Service Request,Medium
I'd like some information about logging into the latest version.,Technical Support,Technical Issue,Low
Can you tell me a problem with the HR platform?,Technical Support,Technical Issue,Low
I was wondering how the HR platform works?,Product Inquiry,Product Information,Low
I need help with this as soon as possible: a refund for the mobile app.,Pricing,Billing Request,High
I can't seem to the monthly cost of my current plan.,Pricing,Pricing Information,Medium
I need information about account request for the latest version (reference 5529).,General Inquiry,Account Request,Medium
I'm running into an issue with a problem with my subscription.,Technical Support,Technical Issue,Medium
I need information about account request for your service (reference 5531).,General Inquiry,Account Request,Medium
I need information about service complaint for my recent order (reference 5532).,Complaint,Service Complaint,Medium
I'm having trouble with getting documentation for my subscription.,Product Inquiry,Product Request,Medium
I need information about service information for my current plan (reference 5534).,Service Inquiry,Service Information,Low
Could someone help me with your service crashing.,Technical Support,Technical Issue,Medium
I need information about service complaint for the HR platform (reference 5536).,Complaint,Service Complaint,High
I need information about service request for the latest version (reference 5537).,Service Inquiry,Service Request,Medium
I need information about service request for your AI HR software (reference 5538).,Service Inquiry,Service Request,High
I need some help with the monthly cost of our company account.,Pricing,Pricing Information,Medium
I need information about general information for the software (reference 5540).,General Inquiry,General Information,High
I need information about general information for the premium plan (reference 5541).,General Inquiry,General Information,Medium
I need information about service request for your service (reference 5542).,Service Inquiry,Service Request,Low
I need information about service complaint for my recent order (reference 5543).,Complaint,Service Complaint,Medium
I'm having a problem with the price of the latest version.,Pricing,Pricing Information,Medium
This is urgent—can you help with the monthly cost of the latest version.,Pricing,Pricing Information,High
Could you let me know the price of the business plan?,Pricing,Pricing Information,Low
I need information about service complaint for the customer portal (reference 5547).,Complaint,Service Complaint,Low
Do you know my account running very slowly?,Technical Support,Technical Issue,Low
I need information about service complaint for the latest version (reference 5549).,Complaint,Service Complaint,Low
I urgently need help with what I'd pay for the HR platform.,Pricing,Pricing Information,High
Just wanted to check the business plan not connecting?,Technical Support,Technical Issue,Low
I need information about service complaint for our company account (reference 5552).,Complaint,Service Complaint,Low
Can you tell me details on my recent order?,Product Inquiry,Product Information,Low
I need some help with someone helping me with your AI HR software.,Technical Support,Support Request,Medium
I need information about service complaint for the customer portal (reference 5555).,Complaint,Service Complaint,High
Could you let me know an error in my current plan?,Technical Support,Technical Issue,Low
I need information about service information for the customer portal (reference 5557).,Service Inquiry,Service Information,Low
I need information about service request for the business plan (reference 5558).,Service Inquiry,Service Request,High
Do you know how the software works?,Product Inquiry,Product Information,Low
I need information about service complaint for the software (reference 5560).,Complaint,Service Complaint,Low
I need information about general information for your AI HR software (reference 5561).,General Inquiry,General Information,Low
I need some help with how much my recent order costs.,Pricing,Pricing Information,Medium
I need some help with comparing my current plan with another option.,Product Inquiry,Product Request,Medium
I need information about service request for my current plan (reference 5564).,Service Inquiry,Service Request,Medium
I need information about general information for your service (reference 5565).,General Inquiry,General Information,Medium
I need information about service request for my recent order (reference 5566).,Service Inquiry,Service Request,High
This is urgent—can you help with getting documentation for the software.,Product Inquiry,Product Request,High
Please help me resolve this urgently: how my recent order works.,Product Inquiry,Product Information,High
I need information about general information for the premium plan (reference 5569).,General Inquiry,General Information,Low
I'm stuck with the amount I was charged for your service.,Pricing,Billing Request,Medium
Just wanted to check how much your AI HR software costs?,Pricing,Pricing Information,Low
Can you tell me logging into the customer portal?,Technical Support,Technical Issue,Low
I need information about service request for my account (reference 5573).,Service Inquiry,Service Request,Low
I need information about service request for the latest version (reference 5574).,Service Inquiry,Service Request,Low
I need information about general information for the customer portal (reference 5575).,General Inquiry,General Information,Low
I need information about service request for the software (reference 5576).,Service Inquiry,Service Request,High
I need information about service complaint for the software (reference 5577).,Complaint,Service Complaint,Medium
Just checking—logging into our company account?,Technical Support,Technical Issue,Low
I need information about service request for the HR platform (reference 5579).,Service Inquiry,Service Request,Medium
I need information about service complaint for your service (reference 5580).,Complaint,Service Complaint,High
I need information about account request for my account (reference 5581).,General Inquiry,Account Request,Low
I need information about service request for the customer portal (reference 5582).,Service Inquiry,Service Request,Medium
I need information about service complaint for the latest version (reference 5583).,Complaint,Service Complaint,High
Could someone help me with the price of my account.,Pricing,Pricing Information,Medium
I need some help with the current pricing for the software.,Pricing,Pricing Information,Medium
I need information about service complaint for the HR platform (reference 5586).,Complaint,Service Complaint,Low
I need information about service complaint for the HR platform (reference 5587).,Complaint,Service Complaint,High
I need information about general information for my recent order (reference 5588).,General Inquiry,General Information,Medium
I need information about service request for the software (reference 5589).,Service Inquiry,Service Request,High
Can someone look into this right away: the current pricing for your AI HR software.,Pricing,Pricing Information,High
Could you let me know comparing my recent order with another option?,Product Inquiry,Product Request,Low
Could you let me know the mobile app not connecting?,Technical Support,Technical Issue,Low
I'm trying to find out the business plan crashing?,Technical Support,Technical Issue,Low
I need information about service request for the customer portal (reference 5594).,Service Inquiry,Service Request,Medium
I can't seem to raising a formal complaint.,Complaint,Escalation Request,Medium
Can you tell me customizing the premium plan?,Product Inquiry,Product Request,Low
I need information about service complaint for our company account (reference 5597).,Complaint,Service Complaint,Medium
I need information about general information for my subscription (reference 5598).,General Inquiry,General Information,Medium
I need information about service complaint for the software (reference 5599).,Complaint,Service Complaint,High
I'd like to know comparing the latest version with another option?,Product Inquiry,Product Request,Low
Could you let me know notifications from the customer portal not working?,Technical Support,Technical Issue,Low
I'm stuck with getting documentation for our company account.,Product Inquiry,Product Request,Medium
Could someone help me with my account running very slowly.,Technical Support,Technical Issue,Medium
I need help with this as soon as possible: getting documentation for the mobile app.,Product Inquiry,Product Request,High
I need information about general information for our company account (reference 5605).,General Inquiry,General Information,Low
I need some help with the current pricing for your service.,Pricing,Pricing Information,Medium
I need information about service request for the customer portal (reference 5607).,Service Inquiry,Service Request,Medium
I need information about service information for the latest version (reference 5608).,Service Inquiry,Service Information,High
I need information about general information for the mobile app (reference 5609).,General Inquiry,General Information,High
I'd like some information about integrating the mobile app with another tool.,Product Inquiry,Product Request,Low
Please help me resolve this urgently: what I'd pay for the software.,Pricing,Pricing Information,High
I need information about service complaint for the business plan (reference 5612).,Complaint,Service Complaint,Medium
Just checking—how the mobile app works?,Product Inquiry,Product Information,Low
I was wondering notifications from my subscription not working?,Technical Support,Technical Issue,Low
I need information about service complaint for my subscription (reference 5615).,Complaint,Service Complaint,Low
I'm stuck with an error in the HR platform.,Technical Support,Technical Issue,Medium
Could you let me know details on my subscription?,Product Inquiry,Product Information,Low
I'm having a problem with how much the latest version costs.,Pricing,Pricing Information,Medium
I need information about service request for the customer portal (reference 5619).,Service Inquiry,Service Request,Medium
I'd like some information about what our company account includes.,Product Inquiry,Product Information,Low
I need information about general information for the mobile app (reference 5621).,General Inquiry,General Information,Medium
I'm stuck with customizing my current plan.,Product Inquiry,Product Request,Medium
I need information about general information for my subscription (reference 5623).,General Inquiry,General Information,Low
Just checking—what my account includes?,Product Inquiry,Product Information,Low
I'm trying to find out how the mobile app works?,Product Inquiry,Product Information,Low
I need information about service complaint for the latest version (reference 5626).,Complaint,Service Complaint,High
I'm stuck with the current pricing for the software.,Pricing,Pricing Information,Medium
I'm having a problem with how our company account works.,Product Inquiry,Product Information,Medium
I need information about account request for our company account (reference 5629).,General Inquiry,Account Request,High
I urgently need help with uploading a file to your service.,Technical Support,Technical Issue,High
I need information about service request for my current plan (reference 5631).,Service Inquiry,Service Request,Low
Could someone help me with comparing the software with another option.,Product Inquiry,Product Request,Medium
Do you know the price of the business plan?,Pricing,Pricing Information,Low
Please help me resolve this urgently: the monthly cost of our company account.,Pricing,Pricing Information,High
I need information about service complaint for the HR platform (reference 5635).,Complaint,Service Complaint,Low
I need information about general information for the software (reference 5636).,General Inquiry,General Information,High
I need some help with my current plan running very slowly.,Technical Support,Technical Issue,Medium
I need information about general information for my subscription (reference 5638).,General Inquiry,General Information,Low
I need information about service request for the mobile app (reference 5639).,Service Inquiry,Service Request,Low
This is urgent—can you help with what I should know about my recent order.,Product Inquiry,Product Information,High
I need information about service information for our company account (reference 5641).,Service Inquiry,Service Information,High
I need information about service request for the software (reference 5642).,Service Inquiry,Service Request,Low
I need information about service request for our company account (reference 5643).,Service Inquiry,Service Request,Medium
Something isn't working with the monthly cost of the customer portal.,Pricing,Pricing Information,Medium
I need information about general information for the customer portal (reference 5645).,General Inquiry,General Information,Low
I need information about account request for my current plan (reference 5646).,General Inquiry,Account Request,High
Do you know a problem with my current plan?,Technical Support,Technical Issue,Low
I need information about account request for the software (reference 5648).,General Inquiry,Account Request,High
I need information about service request for my recent order (reference 5649).,Service Inquiry,Service Request,High
I'm stuck with customizing the business plan.,Product Inquiry,Product Request,Medium
I need information about service information for my current plan (reference 5651).,Service Inquiry,Service Information,Low
I need some help with an error in the customer portal.,Technical Support,Technical Issue,Medium
Something isn't working with your AI HR software crashing.,Technical Support,Technical Issue,Medium
Could you let me know the price of our company account?,Pricing,Pricing Information,Low
I'm trying to find out how much the software costs?,Pricing,Pricing Information,Low
I'd like to know integrating your AI HR software with another tool?,Product Inquiry,Product Request,Low
I need information about general information for my current plan (reference 5657).,General Inquiry,General Information,Medium
I need information about service complaint for my subscription (reference 5658).,Complaint,Service Complaint,Low
I need information about account request for my current plan (reference 5659).,General Inquiry,Account Request,Medium
Could you let me know how much the premium plan costs?,Pricing,Pricing Information,Low
I need information about service complaint for our company account (reference 5661).,Complaint,Service Complaint,Low
I need information about service request for the mobile app (reference 5662).,Service Inquiry,Service Request,Medium
I need information about service complaint for the HR platform (reference 5663).,Complaint,Service Complaint,Medium
I need information about service complaint for my current plan (reference 5664).,Complaint,Service Complaint,High
I'd like to know the price of your AI HR software?,Pricing,Pricing Information,Low
Please help me resolve this urgently: what my recent order includes.,Product Inquiry,Product Information,High
I need some help with the business plan running very slowly.,Technical Support,Technical Issue,Medium
I'm stuck with what I should know about the mobile app.,Product Inquiry,Product Information,Medium
I need information about general information for the mobile app (reference 5669).,General Inquiry,General Information,Medium
I'm stuck with what I'd pay for the software.,Pricing,Pricing Information,Medium
I need information about service request for the customer portal (reference 5671).,Service Inquiry,Service Request,High
I'm stuck with notifications from the customer portal not working.,Technical Support,Technical Issue,Medium
I need information about service complaint for the premium plan (reference 5673).,Complaint,Service Complaint,Low
I'd like some information about the current pricing for our company account.,Pricing,Pricing Information,Low
Just wanted to check the price of the software?,Pricing,Pricing Information,Low
I need information about account request for your service (reference 5676).,General Inquiry,Account Request,Low
I'd like some information about getting documentation for my current plan.,Product Inquiry,Product Request,Low
I need information about service complaint for your AI HR software (reference 5678).,Complaint,Service Complaint,Low
I need information about general information for my subscription (reference 5679).,General Inquiry,General Information,Low
I need information about general information for my account (reference 5680).,General Inquiry,General Information,Low
I need information about service request for my recent order (reference 5681).,Service Inquiry,Service Request,Low
I'm having trouble with logging into the latest version.,Technical Support,Technical Issue,Medium
I need information about general information for my subscription (reference 5683).,General Inquiry,General Information,Low
I need information about service request for the premium plan (reference 5684).,Service Inquiry,Service Request,Low
I'm having a problem with the current pricing for the premium plan.,Pricing,Pricing Information,Medium
I'm running into an issue with logging into the latest version.,Technical Support,Technical Issue,Medium
I need information about service request for the mobile app (reference 5687).,Service Inquiry,Service Request,Low
I'm running into an issue with a charge on my invoice for my subscription.,Pricing,Billing Request,Medium
I need information about general information for the mobile app (reference 5689).,General Inquiry,General Information,High
Just checking—your AI HR software crashing?,Technical Support,Technical Issue,Low
I need information about general information for your service (reference 5691).,General Inquiry,General Information,High
I need information about service request for my current plan (reference 5692).,Service Inquiry,Service Request,Low
I need information about general information for the latest version (reference 5693).,General Inquiry,General Information,Low
I need information about service request for the HR platform (reference 5694).,Service Inquiry,Service Request,Low
I need information about service request for the HR platform (reference 5695).,Service Inquiry,Service Request,Low
I'd like to know getting documentation for the software?,Product Inquiry,Product Request,Low
I need information about service complaint for your AI HR software (reference 5697).,Complaint,Service Complaint,High
I need information about service information for the HR platform (reference 5698).,Service Inquiry,Service Information,Low
I need information about service request for the premium plan (reference 5699).,Service Inquiry,Service Request,Medium
I'm having a problem with integrating my account with another tool.,Product Inquiry,Product Request,Medium
I need help with this as soon as possible: the premium plan not connecting.,Technical Support,Technical Issue,High
I urgently need help with more information about the HR platform.,Product Inquiry,Product Information,High
I need information about general information for the customer portal (reference 5703).,General Inquiry,General Information,Low
I'd like to know our company account running very slowly?,Technical Support,Technical Issue,Low
I need information about service complaint for my current plan (reference 5705).,Complaint,Service Complaint,Low
I'd like to know notifications from your AI HR software not working?,Technical Support,Technical Issue,Low
I'm trying to find out how much your service costs?,Pricing,Pricing Information,Low
I'm stuck with getting help with my recent order.,Technical Support,Support Request,Medium
Please help me resolve this urgently: how much my account costs.,Pricing,Pricing Information,High
I can't seem to the price of my account.,Pricing,Pricing Information,Medium
I need information about service request for the software (reference 5711).,Service Inquiry,Service Request,Low
Please help me resolve this urgently: how much my current plan costs.,Pricing,Pricing Information,High
I need information about general information for the customer portal (reference 5713).,General Inquiry,General Information,Medium
I need information about service complaint for the premium plan (reference 5714).,Complaint,Service Complaint,Low
I need information about general information for the software (reference 5715).,General Inquiry,General Information,High
I wanted to ask what I should know about my subscription?,Product Inquiry,Product Information,Low
I need information about service request for the customer portal (reference 5717).,Service Inquiry,Service Request,Medium
I'm running into an issue with notifications from the software not working.,Technical Support,Technical Issue,Medium
I need information about service complaint for my current plan (reference 5719).,Complaint,Service Complaint,High
Could you let me know the monthly cost of your AI HR software?,Pricing,Pricing Information,Low
Do you know what I should know about my current plan?,Product Inquiry,Product Information,Low
I can't seem to details on the customer portal.,Product Inquiry,Product Information,Medium
I need information about account request for your AI HR software (reference 5723).,General Inquiry,Account Request,Medium
I need information about general information for your service (reference 5724).,General Inquiry,General Information,Medium
I need information about general information for the mobile app (reference 5725).,General Inquiry,General Information,Low
This is urgent—can you help with customizing my subscription.,Product Inquiry,Product Request,High
I need information about account request for our company account (reference 5727).,General Inquiry,Account Request,High
I need help with this as soon as possible: adding a feature to your service.,Product Inquiry,Product Request,High
I'd like to know the monthly cost of the mobile app?,Pricing,Pricing Information,Low
I need some help with the price of your service.,Pricing,Pricing Information,Medium
I need information about service request for your AI HR software (reference 5731).,Service Inquiry,Service Request,High
Can someone look into this right away: how much my subscription costs.,Pricing,Pricing Information,High
I need information about general information for your AI HR software (reference 5733).,General Inquiry,General Information,Medium
I need information about general information for the mobile app (reference 5734).,General Inquiry,General Information,High
I was wondering the software running very slowly?,Technical Support,Technical Issue,Low
I was wondering your AI HR software crashing?,Technical Support,Technical Issue,Low
I need information about service information for the mobile app (reference 5737).,Service Inquiry,Service Information,High
I'm stuck with customizing my recent order.,Product Inquiry,Product Request,Medium
I need information about service information for the customer portal (reference 5739).,Service Inquiry,Service Information,Low
I'm trying to find out what I'd pay for the premium plan?,Pricing,Pricing Information,Low
I need information about general information for the customer portal (reference 5741).,General Inquiry,General Information,Low
I need information about general information for the premium plan (reference 5742).,General Inquiry,General Information,Medium
I need information about service request for my subscription (reference 5743).,Service Inquiry,Service Request,Low
I need information about service complaint for the mobile app (reference 5744).,Complaint,Service Complaint,Low
I need information about service request for the customer portal (reference 5745).,Service Inquiry,Service Request,High
Just checking—adding a feature to my account?,Product Inquiry,Product Request,Low
I need information about account request for your AI HR software (reference 5747).,General Inquiry,Account Request,Low
Please help me resolve this urgently: what I'd pay for the customer portal.,Pricing,Pricing Information,High
I need information about service request for the business plan (reference 5749).,Service Inquiry,Service Request,Medium
I need information about general information for my recent order (reference 5750).,General Inquiry,General Information,Low
Could you let me know the price of the HR platform?,Pricing,Pricing Information,Low
I'd like to know your AI HR software running very slowly?,Technical Support,Technical Issue,Low
Do you know what the customer portal includes?,Product Inquiry,Product Information,Low
I need information about service complaint for the business plan (reference 5754).,Complaint,Service Complaint,High
I need information about service request for the software (reference 5755).,Service Inquiry,Service Request,Medium
I urgently need help with what I'd pay for our company account.,Pricing,Pricing Information,High
I need information about general information for your AI HR software (reference 5757).,General Inquiry,General Information,Low
Just wanted to check the price of the HR platform?,Pricing,Pricing Information,Low
I need information about service complaint for the premium plan (reference 5759).,Complaint,Service Complaint,Low
I need information about service request for the premium plan (reference 5760).,Service Inquiry,Service Request,High
Could you let me know what I should know about the mobile app?,Product Inquiry,Product Information,Low
I need information about service complaint for our company account (reference 5762).,Complaint,Service Complaint,Low
I need information about service request for the latest version (reference 5763).,Service Inquiry,Service Request,Low
I need information about general information for my recent order (reference 5764).,General Inquiry,General Information,Medium
I'm stuck with a problem with the premium plan.,Technical Support,Technical Issue,Medium
I need information about general information for my account (reference 5766).,General Inquiry,General Information,Low
I need information about account request for the mobile app (reference 5767).,General Inquiry,Account Request,Low
I need information about general information for my subscription (reference 5768).,General Inquiry,General Information,High
I need information about general information for the HR platform (reference 5769).,General Inquiry,General Information,Medium
Could you let me know integrating your AI HR software with another tool?,Product Inquiry,Product Request,Low
I need information about service information for my current plan (reference 5771).,Service Inquiry,Service Information,Low
I need information about service request for our company account (reference 5772).,Service Inquiry,Service Request,Low
Could you let me know my subscription not connecting?,Technical Support,Technical Issue,Low
I need information about service complaint for my current plan (reference 5774).,Complaint,Service Complaint,Medium
I need information about general information for my recent order (reference 5775).,General Inquiry,General Information,Medium
Can someone look into this right away: your service running very slowly.,Technical Support,Technical Issue,High
I wanted to ask the HR platform not connecting?,Technical Support,Technical Issue,Low
I need information about service request for my account (reference 5778).,Service Inquiry,Service Request,Low
Could you let me know our company account running very slowly?,Technical Support,Technical Issue,Low
I need information about general information for the premium plan (reference 5780).,General Inquiry,General Information,High
I need some help with details on the customer portal.,Product Inquiry,Product Information,Medium
I need information about service complaint for the mobile app (reference 5782).,Complaint,Service Complaint,Low
I need information about service complaint for the mobile app (reference 5783).,Complaint,Service Complaint,Medium
Could you let me know what I'd pay for my current plan?,Pricing,Pricing Information,Low
I need information about service complaint for the software (reference 5785).,Complaint,Service Complaint,Medium
Could someone help me with the current pricing for our company account.,Pricing,Pricing Information,Medium
I need information about general information for the HR platform (reference 5787).,General Inquiry,General Information,High
I wanted to ask the price of the HR platform?,Pricing,Pricing Information,Low
Can someone look into this right away: the HR platform crashing.,Technical Support,Technical Issue,High
I need information about service complaint for the business plan (reference 5790).,Complaint,Service Complaint,High
